Month	Period	Community	Input	Agarista_oleifolia	Alchornea_triplinervia	Bonnetia_stricta	Clusia_nemorosa	Doliocarpus_elegans	Eugenia_angustissima	Ilex_sp1	Laplacea_fruticosa	Mikania_burchellii	Myrsine_guianensis	Pagamea_guianensis	Persea_aurata	Richeria_grandis	Roucheria_columbiana	Tibouchina_barnebyana	Vochysia_acuminata	Biomass
January	rainy	com1	lateral	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
January	rainy	com2	lateral	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
January	rainy	com3	lateral	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
January	rainy	com4	lateral	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
January	rainy	com5	lateral	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
January	rainy	com6	lateral	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
April	rain-dry	com1	lateral	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
April	rain-dry	com2	lateral	0.00	2.80	0.00	0.00	0.00	0.00	0.00	23.72	0.00	0.00	0.00	0.00	4.68	0.00	0.00	0.00	31.20
April	rain-dry	com3	lateral	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
April	rain-dry	com4	lateral	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
April	rain-dry	com5	lateral	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
April	rain-dry	com6	lateral	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
July	dry	com1	lateral	0.00	0.00	4.40	0.00	0.00	0.00	1.12	1.36	0.00	3.52	0.00	0.00	13.28	0.00	18.20	3.88	45.76
July	dry	com2	lateral	0.00	2.68	1.44	0.00	0.00	0.00	0.00	15.36	0.00	0.00	0.00	0.00	26.84	0.00	2.76	0.00	49.08
July	dry	com3	lateral	0.00	0.84	10.82	3.87	0.00	0.00	0.00	15.28	0.00	1.04	0.00	0.00	2.62	0.00	0.52	9.68	44.67
July	dry	com4	lateral	0.00	4.64	0.00	0.00	0.00	0.00	0.00	17.40	0.00	4.28	0.00	0.64	0.00	0.00	0.00	26.08	53.04
July	dry	com5	lateral	0.00	0.36	0.62	0.00	10.27	0.00	0.00	5.98	0.00	0.00	0.00	0.00	6.09	0.00	2.09	11.56	36.97
July	dry	com6	lateral	0.00	1.56	2.28	0.00	0.00	1.04	0.00	3.36	0.00	0.00	0.00	0.00	12.12	2.76	0.00	0.00	23.12
October	dry-rain	com1	lateral	0.00	0.00	12.56	0.00	0.00	0.00	0.00	70.00	0.00	0.00	0.00	0.00	50.52	0.00	6.88	2.04	142.00
October	dry-rain	com2	lateral	0.00	21.76	0.00	0.00	0.00	0.00	0.00	36.60	0.00	0.00	0.00	0.00	204.08	0.00	1.64	0.00	264.08
October	dry-rain	com3	lateral	0.00	0.12	2.20	0.00	0.00	0.00	0.24	53.08	0.00	0.00	0.00	0.00	55.04	0.00	4.72	32.12	147.52
October	dry-rain	com4	lateral	0.00	11.76	0.00	0.00	0.00	0.00	0.00	29.08	0.00	5.72	3.92	6.44	0.00	0.00	2.72	40.72	100.36
October	dry-rain	com5	lateral	0.00	5.92	11.20	16.16	0.00	0.00	0.00	47.96	0.00	0.00	0.00	0.00	10.88	0.00	3.72	29.16	125.00
October	dry-rain	com6	lateral	0.00	14.60	6.44	0.00	46.20	0.00	0.00	7.44	0.00	0.00	0.00	2.60	32.88	0.00	19.04	12.88	142.08
January	rainy	com1	terrestrial	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
January	rainy	com2	terrestrial	0.00	1.26	0.33	0.00	0.00	0.00	0.00	5.43	0.00	0.00	0.00	0.00	0.00	21.04	0.00	0.00	28.06
January	rainy	com3	terrestrial	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.08	0.52	0.00	0.00	0.00	0.00	0.00	3.25	11.10	14.99
January	rainy	com4	terrestrial	0.00	0.10	0.46	0.00	0.00	0.00	0.00	11.22	0.78	0.06	0.00	0.49	0.62	0.00	0.15	0.00	13.88
January	rainy	com5	terrestrial	0.00	0.00	16.34	4.44	0.00	0.00	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00	3.29	7.70	32.07
January	rainy	com6	terrestrial	2.44	4.70	0.33	0.00	6.98	0.00	0.00	2.90	0.00	0.00	0.00	0.00	10.90	0.00	0.67	0.00	28.92
April	rain-dry	com1	terrestrial	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
April	rain-dry	com2	terrestrial	0.00	0.00	1.00	66.44	0.00	0.00	0.00	11.14	0.00	0.00	0.00	0.32	0.00	0.00	9.53	0.60	89.03
April	rain-dry	com3	terrestrial	0.00	3.13	0.00	0.00	0.00	0.00	0.00	6.91	5.32	0.00	0.00	0.53	0.00	4.55	2.26	3.36	26.06
April	rain-dry	com4	terrestrial	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
April	rain-dry	com5	terrestrial	3.51	5.82	1.39	0.00	1.48	0.57	0.00	4.62	0.00	0.00	0.00	0.00	13.26	0.00	0.83	0.00	31.48
April	rain-dry	com6	terrestrial	0.00	1.87	13.00	7.15	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00	1.27	2.27	5.38	32.71
July	dry	com1	terrestrial	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
July	dry	com2	terrestrial	0.00	0.05	6.04	0.00	0.00	0.25	0.00	7.30	0.11	0.00	0.00	0.00	37.00	0.00	10.44	0.28	61.47
July	dry	com3	terrestrial	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43	0.00	1.66	0.00	2.09
July	dry	com4	terrestrial	0.00	0.38	3.38	0.00	0.00	0.00	0.00	3.99	0.00	0.00	0.00	0.00	0.00	0.00	13.09	11.33	32.16
July	dry	com5	terrestrial	0.00	0.00	0.47	0.00	2.99	0.00	0.00	13.43	0.00	0.00	0.00	0.00	7.20	0.00	2.65	11.53	38.27
July	dry	com6	terrestrial	0.00	2.79	0.00	0.00	4.39	0.00	0.00	5.37	0.00	0.00	0.00	0.10	4.69	0.00	1.20	0.50	19.04
October	dry-rain	com1	terrestrial	0.00	35.68	0.97	0.00	0.00	0.00	0.00	11.70	0.00	0.00	0.00	0.00	126.93	0.00	10.89	0.00	186.17
October	dry-rain	com2	terrestrial	0.00	12.08	10.73	0.00	0.00	0.00	0.00	36.75	0.00	0.00	0.00	0.00	0.00	36.29	0.00	12.68	108.53
October	dry-rain	com3	terrestrial	0.00	0.15	5.34	0.00	0.00	0.00	0.00	6.39	0.00	0.00	0.14	0.00	26.43	0.00	9.33	18.31	66.09
October	dry-rain	com4	terrestrial	0.00	0.65	1.26	0.00	0.00	0.00	0.00	2.86	0.00	0.00	0.00	0.00	0.00	0.00	4.78	21.72	31.27
October	dry-rain	com5	terrestrial	0.00	1.64	10.31	1.46	0.00	0.00	0.00	10.06	0.00	0.00	0.00	0.00	14.52	0.00	2.14	8.32	48.45
October	dry-rain	com6	terrestrial	8.36	20.15	0.42	0.00	15.84	0.82	0.00	2.41	0.00	0.00	0.00	0.16	23.06	0.00	0.89	0.65	72.76
January	rainy	com1	vertical	6.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.22	58.47	4.69	0.00	0.00	0.00	13.85	0.00	85.15
January	rainy	com2	vertical	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.67	0.00	6.11	0.00	0.00	0.00	0.00	15.08	0.00	24.85
January	rainy	com3	vertical	0.00	7.95	56.63	0.00	0.00	0.00	0.00	18.54	0.00	0.00	0.00	0.00	0.00	0.00	32.39	82.10	197.61
January	rainy	com4	vertical	0.00	0.00	14.46	0.00	0.00	12.43	3.06	16.09	0.00	5.50	0.00	0.00	0.00	0.00	39.11	5.09	95.75
January	rainy	com5	vertical	0.00	2.24	69.88	0.00	10.59	0.00	0.00	5.70	0.00	0.00	0.00	0.00	49.91	0.00	103.90	0.00	242.22
January	rainy	com6	vertical	0.00	0.00	128.55	0.00	18.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	87.60	0.00	234.89
April	rain-dry	com1	vertical	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.19	0.00	0.00	0.00	0.00	137.71	0.00	158.90
April	rain-dry	com2	vertical	0.00	0.00	0.81	0.00	0.00	1.02	0.00	2.65	0.00	0.00	0.00	0.00	0.00	0.00	12.22	0.00	16.70
April	rain-dry	com3	vertical	0.00	9.98	18.33	0.00	0.81	0.00	0.00	7.95	0.00	0.00	0.00	0.00	0.00	0.00	36.06	35.04	108.17
April	rain-dry	com4	vertical	0.00	6.93	0.00	0.00	0.00	0.00	0.00	24.85	0.00	8.76	0.00	0.00	0.00	0.00	65.60	61.52	167.66
April	rain-dry	com5	vertical	9.17	0.81	59.69	0.00	0.00	0.00	0.00	2.44	0.00	4.89	0.00	0.00	5.70	0.00	86.17	0.00	168.88
April	rain-dry	com6	vertical	0.00	2.65	125.08	0.00	0.00	1.22	0.00	0.00	0.00	10.80	0.00	0.00	0.00	3.67	83.52	0.00	226.94
July	dry	com1	vertical	0.00	0.61	28.93	0.00	0.00	0.00	0.00	1.22	0.00	61.52	0.00	0.00	0.00	0.00	52.97	5.70	150.96
July	dry	com2	vertical	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.67	0.00	26.28	0.00	0.00	0.00	0.00	40.54	0.00	70.49
July	dry	com3	vertical	6.93	5.70	0.00	0.00	0.00	0.00	0.00	1.22	0.00	0.00	0.00	0.00	0.00	0.00	102.27	122.64	238.76
